country,Year,logGDP,trans_ENR
Gabon,2002,9.197226763,-1.349975916
Gabon,2003,9.195190185,-1.599267125
Gabon,2004,9.176746359,-2.257667483
Gabon,2005,9.176369852,-2.096078882
Gabon,2006,9.119820301,-1.41331671
Gabon,2007,9.148934007,-1.026328866
Gabon,2008,9.084552634,-0.727308351
Gabon,2009,9.053212765,-0.649002714
Gabon,2010,9.087124731,-0.727308351
Gabon,2011,9.119070121,-0.772065841
Gabon,2012,9.132363695,-0.419165609
Gabon,2013,9.149426208,-0.35687268
Gabon,2014,9.155605372,-0.476915308
Gabon,2015,9.16031049,-0.413952491
Gabon,2016,9.150575505,-0.412477252
Gabon,2017,9.127392365,-0.433750284
Nigeria,1980,7.630456407,0.430705701
Nigeria,1981,7.46262841,0.472535069
Nigeria,1982,7.366166981,0.471388601
Nigeria,1983,7.225146628,0.472505409
Nigeria,1984,7.188639297,0.486033931
Nigeria,1985,7.220461616,0.499278755
Nigeria,1986,7.195037271,0.496192941
Nigeria,1987,7.200283092,0.505618639
Nigeria,1988,7.244748808,0.517681273
Nigeria,1989,7.2376344,0.531640494
Nigeria,1990,7.323177319,0.526977911
Nigeria,1991,7.301296243,0.543571449
Nigeria,1992,7.321353887,0.546812552
Nigeria,1993,7.275760789,0.549185461
Nigeria,1994,7.232509123,0.537668487
Nigeria,1995,7.206881615,0.556640741
Nigeria,1996,7.223098724,0.559890814
Nigeria,1997,7.227154018,0.560088748
Nigeria,1998,7.227727856,0.553182321
Nigeria,1999,7.208585534,0.55360791
Nigeria,2000,7.232494668,0.551904868
Nigeria,2001,7.264870126,0.571337924
Nigeria,2002,7.382273701,0.575328996
Nigeria,2003,7.427798292,0.582485687
Nigeria,2004,7.490674562,0.583229181
Nigeria,2005,7.527218244,0.597820674
Nigeria,2006,7.559934621,0.59015767
Nigeria,2007,7.597446495,0.572717305
Nigeria,2008,7.636399904,0.591728631
Nigeria,2009,7.687075569,0.527786477
Nigeria,2010,7.737376394,0.552310546
Nigeria,2011,7.762315278,0.555706352
Nigeria,2012,7.776933439,0.605633023
Nigeria,2013,7.814746908,0.616705914
Nigeria,2014,7.849284816,0.595518132
Nigeria,2015,7.84899225,0.606279221
Nigeria,2016,7.806415503,0.606495528
Nigeria,2017,7.788364946,0.60283568
Congo,1980,7.75209878,0.108091125
Congo,1981,7.885178739,0.031116775
Congo,1982,8.06783889,0.063894914
Congo,1983,8.095674918,0.126294635
Congo,1984,8.134382523,0.088663918
Congo,1985,8.094158641,-0.0930967
Congo,1986,7.995208874,-0.009678444
Congo,1987,7.969572178,-0.13628113
Congo,1988,7.959758024,-0.031444491
Congo,1989,7.958150239,-0.090335014
Congo,1990,7.940754692,-0.154644124
Congo,1991,7.936985335,-0.091715537
Congo,1992,7.935225961,-0.061475108
Congo,1993,7.897686731,-0.027360138
Congo,1994,7.813272181,0.006632043
Congo,1995,7.824186001,-0.027360138
Congo,1996,7.837696419,-0.028721379
Congo,1997,7.802605803,-0.028721379
Congo,1998,7.810299965,0.039292441
Congo,1999,7.755158848,0.065265948
Congo,2000,7.799322898,0.058415779
Congo,2001,7.808107668,-0.043710786
Congo,2002,7.824581867,-0.013756989
Congo,2003,7.803941258,-0.083441655
Congo,2004,7.808176758,-0.118077618
Congo,2005,7.851380983,-0.478305159
Congo,2006,7.878655401,-0.527575232
Congo,2007,7.828332809,-1.042005672
Congo,2008,7.848227273,-2.357506979
Congo,2009,7.887426362,-0.775866754
Congo,2010,7.940832995,-0.247340352
Congo,2011,7.946522017,-0.20417385
Congo,2012,7.957908849,-0.150854291
Congo,2013,7.967086053,-0.022553087
Congo,2014,8.008279073,-0.115116145
Congo,2015,8.009562459,-0.090633484
Congo,2016,7.955768769,-0.073245514
Congo,2017,7.898570753,-0.092461382
