Country,Year,lnrgdp,lnenr,resid
Garbon,1995,9.337383511,0.060153923,1.151276289
Garbon,1996,9.347504159,0.105260511,1.136043184
Garbon,1997,9.378119194,0.150142658,1.159406541
Garbon,1998,9.387451712,0.105260511,1.151383331
Garbon,1999,9.26940519,0.01093994,1.041836253
Garbon,2000,9.226247185,-0.06720875,0.972598364
Garbon,2001,9.223530005,-0.040821995,0.939916074
Garbon,2002,9.197226763,-0.06720875,0.866274315
Garbon,2003,9.195190185,-0.040821995,0.844455642
Garbon,2004,9.176746359,0.01093994,0.800532312
Garbon,2005,9.176369852,-0.015113638,0.732802705
Garbon,2006,9.119820301,0.05921186,0.663401356
Garbon,2007,9.148934007,0.128393215,0.662928901
Garbon,2008,9.084552634,0.233489843,0.576049233
Garbon,2009,9.053212765,0.27307592,0.539766276
Garbon,2010,9.087124731,0.233489843,0.516535903
Garbon,2011,9.119070121,0.213497174,0.527355777
Garbon,2012,9.132363695,0.432431556,0.539719734
Garbon,2013,9.149426208,0.489806257,0.541897143
Garbon,2014,9.155605372,0.385262401,0.524291075
Garbon,2015,9.16031049,0.436963775,0.52924459
Garbon,2016,9.150575505,0.438254931,0.541171745
Garbon,2017,9.127392365,0.420463184,0.537499863
Nigeria,1980,7.630456407,2.366498419,-0.174686192
Nigeria,1981,7.46262841,2.572993837,-0.312278649
Nigeria,1982,7.366166981,2.567100887,-0.436804143
Nigeria,1983,7.225146628,2.572841212,-0.585580421
Nigeria,1984,7.188639297,2.643405008,-0.639565226
Nigeria,1985,7.220461616,2.714363563,-0.604501058
Nigeria,1986,7.195037271,2.697663108,-0.598069428
Nigeria,1987,7.200283092,2.749000187,-0.55659276
Nigeria,1988,7.244748808,2.816127024,-0.526174836
Nigeria,1989,7.2376344,2.895856688,-0.53786762
Nigeria,1990,7.323177319,2.868977865,-0.468861241
Nigeria,1991,7.301296243,2.965788397,-0.467443267
Nigeria,1992,7.321353887,2.985075693,-0.424385268
Nigeria,1993,7.275760789,2.999275987,-0.394601964
Nigeria,1994,7.232509123,2.930980396,-0.423737049
Nigeria,1995,7.206881615,3.044331943,-0.46335611
Nigeria,1996,7.223098724,3.064184999,-0.476858287
Nigeria,1997,7.227154018,3.065398252,-0.487603634
Nigeria,1998,7.227727856,3.023347441,-0.503896076
Nigeria,1999,7.208585534,3.025921945,-0.497788877
Nigeria,2000,7.232494668,3.015632935,-0.488228846
Nigeria,2001,7.264870126,3.135146329,-0.469719863
Nigeria,2002,7.382273701,3.160271661,-0.390750003
Nigeria,2003,7.427798292,3.205831111,-0.361693157
Nigeria,2004,7.490674562,3.210601688,-0.332419703
Nigeria,2005,7.527218244,3.30567718,-0.342289756
Nigeria,2006,7.559934621,3.2554006,-0.343964915
Nigeria,2007,7.597446495,3.143807392,-0.367289376
Nigeria,2008,7.636399904,3.2656449,-0.347940296
Nigeria,2009,7.687075569,2.873621135,-0.376819337
Nigeria,2010,7.737376394,3.018080677,-0.351845216
Nigeria,2011,7.762315278,3.038648075,-0.341020302
Nigeria,2012,7.776933439,3.35773301,-0.310018911
Nigeria,2013,7.814746908,3.432922121,-0.284011001
Nigeria,2014,7.849284816,3.29048926,-0.27980813
Nigeria,2015,7.84899225,3.36207533,-0.276414866
Nigeria,2016,7.806415503,3.363530128,-0.297301185
Nigeria,2017,7.788364946,3.339274696,-0.29695785
Rep. of Congo,1980,7.75209878,-1.241328591,-0.676722397
Rep. of Congo,1981,7.885178739,-1.064210862,-0.518485367
Rep. of Congo,1982,8.06783889,-1.136314156,-0.375334944
Rep. of Congo,1983,8.095674918,-1.287354413,-0.382357219
Rep. of Congo,1984,8.134382523,-1.194022473,-0.3571912
Rep. of Congo,1985,8.094158641,-0.830113036,-0.34353134
Rep. of Congo,1986,7.995208874,-0.980829253,-0.433792196
Rep. of Congo,1987,7.969572178,-0.761426021,-0.39414475
Rep. of Congo,1988,7.959758024,-0.939047719,-0.460315936
Rep. of Congo,1989,7.958150239,-0.834710745,-0.462248275
Rep. of Congo,1990,7.940754692,-0.733969175,-0.474118855
Rep. of Congo,1991,7.936985335,-0.832409248,-0.488341783
Rep. of Congo,1992,7.935225961,-0.884307686,-0.479406552
Rep. of Congo,1993,7.897686731,-0.946749939,-0.45481844
Rep. of Congo,1994,7.813272181,-1.013352445,-0.524823728
Rep. of Congo,1995,7.824186001,-0.946749939,-0.535982884
Rep. of Congo,1996,7.837696419,-0.944175935,-0.555178751
Rep. of Congo,1997,7.802605803,-0.944175935,-0.60527974
Rep. of Congo,1998,7.810299965,-1.081755172,-0.630965686
Rep. of Congo,1999,7.755158848,-1.139434283,-0.671273216
Rep. of Congo,2000,7.799322898,-1.123930097,-0.636999445
Rep. of Congo,2001,7.808107668,-0.916290732,-0.626846972
Rep. of Congo,2002,7.824581867,-0.972861083,-0.662929074
Rep. of Congo,2003,7.803941258,-0.84629836,-0.686034538
Rep. of Congo,2004,7.808176758,-0.789658081,-0.706435232
Rep. of Congo,2005,7.851380983,-0.384192973,-0.655988246
Rep. of Congo,2006,7.878655401,-0.348140041,-0.648181736
Rep. of Congo,2007,7.828332809,-0.124430078,-0.701377406
Rep. of Congo,2008,7.848227273,0.008959741,-0.699090244
Rep. of Congo,2009,7.887426362,0.211880359,-0.636598894
Rep. of Congo,2010,7.940832995,0.609765572,-0.564709723
Rep. of Congo,2011,7.946522017,0.664747706,-0.567185458
Rep. of Congo,2012,7.957908849,0.739553553,-0.581643483
Rep. of Congo,2013,7.967086053,0.955895986,-0.559870917
Rep. of Congo,2014,8.008279073,0.794349061,-0.552317148
Rep. of Congo,2015,8.009562459,0.834212621,-0.552831746
Rep. of Congo,2016,7.955768769,0.863733481,-0.580083278
Rep. of Congo,2017,7.898570753,0.831168478,-0.620323862
